"rawp","adjp","stats"
"10000_at",0.704496730400107,1,0.379257400304602
"10001_at",0.602833349608591,1,-0.52033034463531
"10002_at",0.0688067933021195,1,-1.81968628371634
"10003_at",0.184658668561788,1,-1.3265467261853
"100048912_at",0.121677296022064,1,-1.54777160173895
"10004_at",0.567428760046015,1,0.571842384357778
"10005_at",0.686209385224357,1,0.404004533791814
"10006_at",0.363660016309905,1,-0.908413082563209
"10007_at",0.289057099003765,1,-1.0601923536878
"10008_at",0.978480288241887,1,0.0269742297361156
"100093630_at",0.0906847940862827,1,-1.69179643230577
"100093698_at",8.36690716710109e-11,1.65363553250586e-06,6.49385194018434
"10009_at",0.813384712334519,1,-0.236061804052587
"1000_at",0.165587179571344,1,1.38652327064715
"100101467_at",0.467668734864473,1,0.726277393868688
"100101938_at",0,0,11.9379825651229
"10010_at",0.753454495259795,1,-0.314087615599793
"100113407_at",0.725445049185643,1,-0.351191016579075
"10011_at",2.22044604925031e-16,4.38848957173832e-12,8.18354353538179
"100124700_at",0.339581452548384,1,-0.954992573571143
"100125288_at",0.192914091694534,1,1.30200671037794
"100126784_at",0.410871642306612,1,-0.822360695015645
"100126791_at",0.429508469833839,1,0.790033045369092
"100126793_at",0.804766434610361,1,0.247183215268268
"100127888_at",0.713121470166466,1,-0.367667106729171
"100127983_at",0.567417668456581,1,-0.571858754924364
"100128025_at",0.495939018613974,1,-0.680893282992106
"100128071_at",0.978619947095813,1,-0.0267991300420817
"100128098_at",0.263921444217959,1,-1.1171704698807
"100128124_at",0.30720464555601,1,-1.02110510323627
"100128126_at",0.898084275996601,1,-0.128081753131154
"100128139_at",0.375468858135585,1,-0.886275926471574
"100128164_at",0.839843164807843,1,-0.202094094136489
"100128176_at",0.413709004792914,1,0.817384020246405
"100128191_at",0.0572552380232918,1,-1.90135722704189
"100128239_at",0.0013006909766311,1,3.21582726152479
"100128252_at",0.264327908979852,1,-1.11622015556102
"100128285_at",0.456140748139975,1,0.745216667988185
"100128288_at",0.147857394549691,1,1.44714115139657
"100128292_at",0.00354114064291045,1,-2.91638427269345
"100128325_at",0.57884157871518,1,-0.555077607043001
"100128361_at",0.342762211950059,1,0.948721626133409
"100128374_at",0.179306807467392,1,-1.34289243162629
"100128496_at",0.330518574356898,1,-0.973069876450751
"100128511_at",0.20129739838275,1,-1.2778639576376
"100128554_at",0.223284720540337,1,1.21784015784428
"100128590_at",0.183132265885594,1,-1.33117247546452
"100128640_at",0.975792136852275,1,0.0303447133843598
"100128653_at",0.359718332301699,1,-0.915901934081223
"100128731_at",0.485768359500177,1,0.697055023944827
"100128750_at",0.488823128700107,1,-0.692181860538384
"100128782_at",0.0012801952880106,1,-3.22038279445015
"100128788_at",0.291884401084766,1,1.05399675876083
"100128822_at",0.768735165684043,1,0.294029756200257
"100128830_at",0.165859161460349,1,1.38563245925357
"100128881_at",0.290318450314771,1,-1.05742328257074
"100128893_at",0.00338055268234627,1,-2.93083225693627
"100128927_at",0.380984474735113,1,0.876083807724678
"100128946_at",0.617900021899051,1,-0.498828764088083
"100128977_at",0.40875688779695,1,-0.826083216244981
"100128993_at",0.636340065436128,1,-0.472822156335852
"100128998_at",0.0942374324584927,1,1.67345665610265
"100129034_at",0.24182463581226,1,-1.1704382862312
"100129098_at",7.060615927168e-05,1,-3.97423387232316
"100129128_at",0.110897039161109,1,-1.59417412974057
"100129175_at",0.0509616397830115,1,-1.95180264805723
"100129195_at",0.271383237608954,1,-1.09988269013634
"100129196_at",0.605949477743554,1,-0.515863887441197
"100129250_at",0.0212772661723202,1,2.30302802796315
"100129271_at",0.401356185020852,1,-0.839201608187593
"100129361_at",0.0439515078952664,1,-2.01455298473917
"100129387_at",0.0610943064471896,1,1.87281231761666
"100129427_at",0.578309556057679,1,-0.555855624551513
"100129455_at",0.0280562882429725,1,2.19649841844167
"100129460_at",0.392632388991143,1,-0.854853259730566
"100129461_at",0.831460329074186,1,-0.212829018081134
"100129476_at",0.0927169677296964,1,1.68123659638307
"100129482_at",0.708686327681534,1,0.373620973414708
"100129503_at",0.211506511587241,1,1.24943363797206
"100129550_at",0.390002477519796,1,-0.859612871251906
"100129597_at",4.86937157262446e-11,9.62382597613498e-07,6.57487575212003
"100129617_at",0.444151741904648,1,-0.765201205587652
"100129620_at",0.00145621115490524,1,-3.18327126955578
"100129637_at",0.71839045629902,1,0.360610744243421
"100129654_at",0.873526234175471,1,0.159181049017933
"100129662_at",0.204141726825276,1,1.26983972589974
"100129716_at",0.0127368146206184,1,-2.49104455568821
"100129722_at",0.202930855175204,1,1.27324573749291
"100129726_at",0.122697864289145,1,-1.54354802622617
"100129792_at",0.197609623421126,1,1.28839176637445
"100129794_at",0.241047258856411,1,1.17237318903005
"100129827_at",0.400208886000776,1,0.841248230666778
"100129845_at",0.461557671682557,1,0.736284344488311
"100129858_at",0.867246456477652,1,-0.167157077357725
"100129917_at",0.000108539025582832,1,-3.87066463487163
"100129935_at",0.779201573616797,1,0.280359672374666
"100129961_at",0.393339430161224,1,-0.853576957883323
"100129973_at",0.000431206496895875,1,3.5202092305726
"100130100_at",0.104330271377121,1,-1.62421340283192
"100130155_at",0.923122612358085,1,0.0965010848564144
